Cas,Taille texte,Taille motif,MP comparaisons,MP temps (s),BM comparaisons,BM temps (s),Ratio comparaisons (BM/MP),Ratio temps (BM/MP)
Meilleur cas MP,1000,5,1241,0.0,608,0.0009980201721191406,0.48992747784045126,inf
Meilleur cas MP,1000,10,1230,0.0,569,0.0009965896606445312,0.46260162601626015,inf
Meilleur cas MP,1000,20,1251,0.0,617,0.0009970664978027344,0.49320543565147884,inf
Meilleur cas MP,1000,50,1257,0.0,524,0.0009975433349609375,0.41686555290373906,inf
Meilleur cas MP,1000,100,1259,0.001932382583618164,617,0.0009953975677490234,0.49007148530579825,0.5151141270820481
Meilleur cas MP,1000,200,1247,0.0008544921875,494,0.0,0.39615076182838815,0.0
Meilleur cas MP,10000,5,12478,0.005021095275878906,6364,0.004990339279174805,0.5100176310306139,0.9938746438746439
Meilleur cas MP,10000,10,12563,0.004991054534912109,5402,0.0055141448974609375,0.4299928361060256,1.1048055794401452
Meilleur cas MP,10000,20,12508,0.0060253143310546875,6090,0.004949331283569336,0.48688839142948515,0.8214229186451408
Meilleur cas MP,10000,50,12487,0.00794076919555664,4910,0.008976221084594727,0.39320893729478656,1.1303969254788926
Meilleur cas MP,10000,100,12529,0.006259918212890625,6715,0.010652780532836914,0.5359565807327001,1.7017443631931748
Meilleur cas MP,10000,200,12456,0.003988742828369141,5979,0.006589174270629883,0.480009633911368,1.6519426180514047
Meilleur cas MP,100000,5,124725,0.03131866455078125,64003,0.046872854232788086,0.5131529364602124,1.4966428136419
Meilleur cas MP,100000,10,124655,0.053896188735961914,58738,0.06578516960144043,0.47120452448758576,1.2205903820717783
Meilleur cas MP,100000,20,125049,0.035902976989746094,71035,0.03291201591491699,0.5680573215299602,0.9166932292081706
Meilleur cas MP,100000,50,124785,0.024985313415527344,71379,0.0329587459564209,0.5720158672917418,1.3191247757547997
Meilleur cas MP,100000,100,124963,0.05385446548461914,62119,0.0399327278137207,0.4970991413458384,0.7414933460833533
Meilleur cas MP,100000,200,125170,0.024930953979492188,67300,0.03391122817993164,0.5376687704721579,1.3602057990972383
Meilleur cas MP,500000,5,624564,0.14304804801940918,355899,0.16940951347351074,0.5698359175360732,1.1842839928198445
Meilleur cas MP,500000,10,624878,0.15215182304382324,321670,0.15338540077209473,0.5147724835887966,1.0081075448429966
Meilleur cas MP,500000,20,625010,0.14176511764526367,310096,0.14135527610778809,0.49614566166941326,0.997109009999899
